[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001732s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001961s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001450s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001679s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002295s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014762s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015000s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001229s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000918s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001580s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005336s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001156s ]
[ 2019-08-16T10:16:34+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001368s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002795s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.003068s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002120s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002348s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.008728s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000561s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000507s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001968s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002144s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.043528s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043730s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001145s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001184s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000851s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001319s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004975s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001706s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001887s ]
[ 2019-08-16T10:16:42+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Use of undefined constant adminName - assumed 'adminName' LoginAction.class.php 第 41 行.
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001547s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001732s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001411s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001567s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001710s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001882s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013662s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013885s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001408s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001366s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000872s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001408s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005523s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001126s ]
[ 2019-08-16T11:17:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001276s ]
[ 2019-08-16T11:18:20+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-08-16T11:18:20+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001943s ]
[ 2019-08-16T11:18:20+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002129s ]
[ 2019-08-16T11:18:20+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-08-16T11:18:20+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001724s ]
[ 2019-08-16T11:18:20+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001906s ]
