[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001679s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002203s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002444s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001800s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002026s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025438s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025777s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001243s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001670s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000642s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001635s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005747s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001572s ]
[ 2019-08-08T08:43:07+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001839s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001532s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.001796s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001442s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001705s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.025245s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.019623s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000777s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Use of undefined constant username - assumed 'username' LoginAction.class.php 第 27 行.
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001347s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001532s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.092417s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.092659s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.000956s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001425s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000876s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001662s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005625s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001212s ]
[ 2019-08-08T08:43:15+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001449s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002387s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002782s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000854s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001116s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001272s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001577s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011454s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011658s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000810s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000948s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000447s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001486s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004187s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000930s ]
[ 2019-08-08T10:26:01+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001100s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002238s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002556s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001180s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001370s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001726s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001908s ]
[ 2019-08-08T14:33:56+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.037066s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037505s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001051s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001068s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000609s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001067s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004247s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001804s ]
[ 2019-08-08T14:33:57+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002080s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.004462s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.004929s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003086s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003508s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.018814s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.003581s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000589s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Use of undefined constant username - assumed 'username' LoginAction.class.php 第 27 行.
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.001340s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.001486s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.084769s ]
[ 2019-08-08T14:34:21+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.085045s ]
