[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000838s ]
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000979s ]
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001193s ]
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001398s ]
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000847s ]
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000992s ]
[ 2012-05-13T14:33:13+08:00 ] /SiaWeb/admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001109s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001269s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000611s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000696s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000384s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000474s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009627s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009776s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000571s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000748s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000358s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000804s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002850s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000625s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000755s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001203s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001395s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000856s ]
[ 2012-05-13T14:33:17+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000994s ]
[ 2012-05-13T14:33:20+08:00 ] /SiaWeb/admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
