[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000484s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000255s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000496s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001897s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000430s ]
[ 2012-05-17T08:37:01+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000505s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.000741s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000878s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000529s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000614s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000387s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000475s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 6 行.
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 35 行.
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | NOTIC: [8] Undefined variable: title 8384b84b189c5fd00834f98e9d2c5849.php 第 37 行.
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.007016s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007097s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.000370s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.000523s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000363s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000780s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002323s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000587s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000698s ]
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Common/verify | ERR: (ThinkException) 无法加载模块Common
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2012-05-17T08:37:24+08:00 ] /xxx/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001146s ]
