[ 2012-05-15T09:39:48+08:00 ] /SiaWeb/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000908s ]
[ 2012-05-15T09:39:48+08:00 ] /SiaWeb/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003304s ]
[ 2012-05-15T09:39:48+08:00 ] /SiaWeb/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-05-15T09:39:48+08:00 ] /SiaWeb/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000816s ]
[ 2012-05-15T09:39:48+08:00 ] /SiaWeb/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000944s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9187217839062214 | INFO: Tag[ route_check ] --START--
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9187217839062214 | INFO: Run CheckRoute Behavior [ RunTime:0.000755s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9187217839062214 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000865s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9187217839062214 | INFO: Tag[ app_begin ] --START--
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9187217839062214 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000527s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9187217839062214 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000602s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9861883434932679 | INFO: Tag[ route_check ] --START--
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9861883434932679 | INFO: Run CheckRoute Behavior [ RunTime:0.000755s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9861883434932679 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000865s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9861883434932679 | INFO: Tag[ app_begin ] --START--
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9861883434932679 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000516s ]
[ 2012-05-15T09:39:50+08:00 ] /SiaWeb/admin.php/Common/verify/random/0.9861883434932679 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000594s ]
[ 2012-05-15T09:39:54+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ route_check ] --START--
