[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001667s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001872s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001311s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001523s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001708s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001932s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.038541s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.038718s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001994s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001645s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003031s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001570s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008827s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001219s ]
[ 2019-08-01T09:20:00+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001468s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.002036s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002368s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001230s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001394s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.055458s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined index: id LeaveAction.class.php 第 9 行.
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId=''  [ RunTime:0.000608s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001554s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001728s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015595s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015819s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.001234s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.001075s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000631s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001150s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004693s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000881s ]
[ 2019-08-01T09:20:10+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001072s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.002091s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002404s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000928s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001080s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.007387s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId='100002'  [ RunTime:0.000722s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000880s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001036s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011343s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011525s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.001103s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.001001s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000408s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000864s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003851s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000625s ]
[ 2019-08-01T09:20:17+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000774s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.001643s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001910s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001318s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001546s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.006113s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId='100001'  [ RunTime:0.000727s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004865s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005057s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014489s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014670s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.000827s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.000791s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000454s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000984s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003533s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000737s ]
[ 2019-08-01T09:20:25+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000907s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.001026s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001229s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000882s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001040s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.006904s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId='100002'  [ RunTime:0.000458s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000886s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001041s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.021242s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.021420s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.000757s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.000698s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000399s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000868s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003148s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000624s ]
[ 2019-08-01T09:20:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000775s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.001117s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001306s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001094s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001279s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.006530s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId='100001'  [ RunTime:0.000726s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000964s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001125s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012736s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012951s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.000673s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.000743s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000406s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000865s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003109s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000633s ]
[ 2019-08-01T09:20:49+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000783s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002568s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002860s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002182s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002405s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002757s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003026s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019883s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020115s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001551s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.002201s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001309s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002016s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007686s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002256s ]
[ 2019-08-01T09:25:29+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002922s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --START--
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run CheckRoute Behavior [ RunTime:0.005318s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.005823s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003928s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004433s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Use of undefined constant Member - assumed 'Member' LeaveAction.class.php 第 5 行.
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | SQL: SHOW COLUMNS FROM `t_member` [ RunTime:0.007029s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined index: id LeaveAction.class.php 第 9 行.
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | SQL: select memId,memName,vipCardId,memTel,memSex,memHealth,memRemarks from t_member where memId=''  [ RunTime:0.000387s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --START--
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002488s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002685s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.015222s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015406s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.001382s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.001210s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001317s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001722s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006121s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001705s ]
[ 2019-08-01T09:25:36+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001887s ]
