[ 2019-08-15T10:37:39+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007971s ]
[ 2019-08-15T10:37:39+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2019-08-15T10:37:39+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002055s ]
[ 2019-08-15T10:37:39+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002463s ]
[ 2019-08-15T10:37:45+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ route_check ] --START--
[ 2019-08-15T10:37:45+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run CheckRoute Behavior [ RunTime:0.004185s ]
[ 2019-08-15T10:37:45+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004618s ]
[ 2019-08-15T10:37:45+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-15T10:37:45+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002813s ]
[ 2019-08-15T10:37:45+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003190s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | SQL: SHOW COLUMNS FROM `t_coach` [ RunTime:0.019301s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | SQL: SELECT `coaName`,`coaSex`,`coaIdCardNo`,`coaNation`,`coaPolitic`,`coaEducation`,`coaTel`,`coaPosition`,`coaSchool`,`coaRemarks` FROM `t_coach` ORDER BY coaID asc  [ RunTime:0.000883s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_template ] --START--
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004044s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004439s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | NOTIC: [8] Undefined variable: title c0b4f8b64c1eb1997bb34efa106d73f2.php 第 5 行.
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run ParseTemplate Behavior [ RunTime:0.065711s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.066131s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run ContentReplace Behavior [ RunTime:0.002222s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run TokenBuild Behavior [ RunTime:0.002493s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001521s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002426s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009732s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_end ] --START--
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001988s ]
[ 2019-08-15T10:37:46+08:00 ] /abcTest/admin.php/Coach/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002361s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ route_check ] --START--
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run CheckRoute Behavior [ RunTime:0.004112s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004541s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003569s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003936s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Undefined index: id CourseAction.class.php 第 4 行.
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Use of undefined constant Course - assumed 'Course' CourseAction.class.php 第 5 行.
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | SQL: SHOW COLUMNS FROM `t_course` [ RunTime:0.015103s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | SQL: SELECT `courseID`,`courseName`,`courseContent`,`courseTime`,`courseArea`,`courseTeacher`,`coursePrice` FROM `t_course` ORDER BY courseID asc  [ RunTime:0.000906s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | SQL: SELECT `courseContent` FROM `t_course` WHERE courseID='' LIMIT 1   [ RunTime:0.000669s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_template ] --START--
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run LocationTemplate Behavior [ RunTime:0.007126s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.007571s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Undefined variable: title 6f0ada55359106615047b4a70d624b08.php 第 5 行.
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ParseTemplate Behavior [ RunTime:0.067259s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.067716s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ContentReplace Behavior [ RunTime:0.003629s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run TokenBuild Behavior [ RunTime:0.004503s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002797s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003764s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015877s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_end ] --START--
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004137s ]
[ 2019-08-15T19:16:22+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004589s ]
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ route_check ] --START--
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | INFO: Run CheckRoute Behavior [ RunTime:0.003875s ]
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.004348s ]
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ app_begin ] --START--
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003925s ]
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004359s ]
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | NOTIC: [8] Use of undefined constant Course - assumed 'Course' CourseAction.class.php 第 25 行.
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | SQL: SHOW COLUMNS FROM `t_course` [ RunTime:0.098522s ]
[ 2019-08-15T19:17:12+08:00 ] /abcTest/admin.php/Course/add | SQL: INSERT INTO `t_course` (`courseName`,`courseContent`,`courseTime`,`courseArea`,`courseTeacher`,`coursePrice`) VALUES ('游泳','教大家游泳的姿势','周一第三节','105','马东','150') [ RunTime:0.098517s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ route_check ] --START--
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Run CheckRoute Behavior [ RunTime:0.003661s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004083s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003137s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003509s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Undefined index: id CourseAction.class.php 第 4 行.
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Use of undefined constant Course - assumed 'Course' CourseAction.class.php 第 5 行.
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | SQL: SHOW COLUMNS FROM `t_course` [ RunTime:0.014548s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | SQL: SELECT `courseID`,`courseName`,`courseContent`,`courseTime`,`courseArea`,`courseTeacher`,`coursePrice` FROM `t_course` ORDER BY courseID asc  [ RunTime:0.000937s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | SQL: SELECT `courseContent` FROM `t_course` WHERE courseID='' LIMIT 1   [ RunTime:0.000512s ]
[ 2019-08-15T19:17:15+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_template ] --START--
